English,French,German,Spanish,Italian,Russian
become,devenir,werden,volverse,diventare,становиться
along,le long de,entlang,a lo largo de,lungo,вдоль
hate,détester,Hass,odio,odiare,ненавидеть
food,aliments,Lebensmittel,comida,cibo,еда
outside,à l'extérieur,draußen,afuera,al di fuori,за пределами
light,lumière,Licht,ligero,luce,свет
l,l,l,l,l,L
needs,Besoins,Bedürfnisse,necesidades,esigenze,потребности
dog,chien,Hund,perro,cane,собака
country,de campagne,Land,país,nazione,страна
clear,dégager,klar,claro,chiaro,Чисто
order,ordre,bestellen,orden,ordine,порядок
em,em,em,em,em,Эм
fact,fait,Tatsache,hecho,fatto,факт
lord,Seigneur,Herr,señor,signore,господин
captain,capitaine,Kapitän,capitán,Capitano,капитан
six,six,sechs,seis,sei,шесть
hot,chaud,heiß,caliente,caldo,горячей
funny,drôle,komisch,divertido,divertente,забавный
black,noir,schwarz,negro,nero,чернить
mrs.,Mme.,Frau.,señora.,Sig.ra.,Г-жа.
alive,vivant,am Leben,viva,vivo,живой
pick,prendre,pflücken,elegir,raccogliere,выбирать
feeling,sentiment,Gefühl,sentimiento,sensazione,чувство
living,vie,Leben,viviendo,vita,жизнь
cause,cause,Ursache,causa,causa,причина
ahead,devant,voraus,adelante,avanti,предстоящий
lose,perdre,verlieren,perder,perdere,терять
king,roi,König,Rey,re,король
plan,plan,planen,plan,Piano,строить планы
dinner,dîner,Abendessen,cena,cena,ужин
sighs,soupirs,Seufzer,suspiros,sospiri,вздохи
sort,Trier,Sortieren,clasificar,ordinare,Сортировать
leaving,en quittant,Verlassen,dejando,in partenza,уход
shouldn,shouldn,shouldn,shouldn,shouldn,не должен
running,fonctionnement,Laufen,corriendo,in esecuzione,Бег
boss,patron,Boss,patrón,capo,босс
alright,bien,in Ordung,está bien,Tutto a posto,хорошо
promise,promesse,versprechen,promesa,promettere,обещать
taken,pris,genommen,tomado,prese,взятый
safe,en sécurité,sicher,a salvo,sicuro,безопасный
ma,mère,ma,mamá,mamma,мама
book,livre,Buch,libro,libro,книга
sent,expédié,geschickt,enviado,inviato,послал
white,blanc,Weiß,blanco,bianca,белый
hour,heure,Stunde,hora,ora,час
anybody,n'importe qui,irgendjemand,cualquiera,nessuno,кто-нибудь
small,petit,klein,pequeño,piccolo,маленький
perfect,parfait,perfekt,Perfecto,Perfetto,идеально
cause,cause,Ursache,causa,causa,причина
lives,des vies,Leben,vidas,vite,жизни
special,spécial,Besondere,especial,speciale,специальный
parents,parents,Eltern,padres,genitori,родители
s,s,s,s,S,s
john,John,John,John,John,Джон
himself,lui-même,selbst,él mismo,lui stesso,сам
perhaps,peut-être,vielleicht,quizás,Forse,возможно
sounds,des sons,Geräusche,sonidos,suoni,звуки
serious,sérieuse,ernst,grave,grave,серьезный
sick,malade,krank,enfermo,malato,больной
company,compagnie,Unternehmen,empresa,azienda,Компания
ha,Ha,Ha,decir ah,ah,ха
scared,effrayé,erschrocken,asustado,impaurito,напугана
uncle,oncle,Onkel,tío,zio,дядя
poor,pauvre,Arm,pobre,povero,бедные
red,rouge,rot,rojo,rosso,красный
past,passé,Vergangenheit,pasado,passato,прошлый
earth,la terre,Erde,tierra,terra,земной шар
possible,possible,möglich,posible,possibile,возможный
shoot,tirer,schießen,disparo,sparare,стрелять
touch,toucher,berühren,tocar,toccare,трогать
sound,sonner,Klang,sonido,suono,звук
top,Haut,oben,cima,superiore,верх
ass,cul,Arsch,culo,culo,жопа
laughs,des rires,lacht,risas,ride,смеется
cannot,ne peux pas,kann nicht,no puedo,non può,не можешь
asking,demander,fragen,preguntando,chiede,просить
win,gagner,Sieg,victoria,vincere,победить
glad,heureux,froh,contento,lieto,радостный
control,contrôler,Steuerung,control,controllo,контроль
hmm,Hmm,hmm,mmm,hmm,Хм
human,Humain,Mensch,humano,umano,человек
drive,conduire,Fahrt,manejar,guidare,водить машину
hair,Cheveu,Haar,pelo,capelli,волосы
jack,jack,Jack,Jacobo,Jack,Джек
bitch,chienne,Hündin,perra,cagna,сука
luck,la chance,Glück,suerte,fortuna,удача
murder,meurtre,Mord,asesinato,omicidio,убийство
happens,arrive,das passiert,sucede,succede,происходит
air,air,Luft,aire,aria,воздуха
ten,Dix,zehn,diez,dieci,десять
daddy,papa,Vati,papi,papà,папочка
finally,finalement,endlich,finalmente,infine,наконец-то
chuckles,gloussements,kichert,risas,ridacchia,посмеивается
fast,vite,schnell,rápido,veloce,быстрый
cold,froid,kalt,frío,freddo,холодный
seem,sembler,scheinen,parecer,sembrare,казаться
laughing,en riant,Lachen,risa,ridendo,смеющийся
words,mots,Wörter,palabras,parole,слова
hospital,hôpital,Krankenhaus,hospital,Ospedale,больница
street,rue,Straße,calle,strada,улица
hang,pendre,aufhängen,colgar,appendere,вешать
dance,Danse,tanzen,baile,danza,танец
meeting,Rencontre,Treffen,reunión,incontro,встреча
till,jusqu'à ce que,bis,hasta que,fino,до
others,autres,Andere,otros,altri,другие
catch,capture,Fang,captura,catturare,ловить
follow,suivre,Folgen,seguir,Seguire,следить
sense,sens,Sinn,sentido,senso,смысл
sex,sexe,Sex,sexo,sesso,секс
lie,mensonge,Lüge,mentir,menzogna,ложь
evening,soirée,Abend,noche,sera,вечер
master,Maître,Meister,Maestro,maestro,владелец
known,connu,bekannt,conocido,conosciuto,известен
dream,rêver,Traum,sueño,sognare,мечтать
write,écrivez,schreiben,escribir,Scrivi,записывать
million,million,Million,millón,milione,миллиона
voice,voix,Stimme,voz,voce,голос
sweet,doux,Süss,dulce,dolce,милая
rather,plutôt,lieber,bastante,piuttosto,скорее
felt,se sentait,fühlte,sintió,provato,чувствовал себя
sign,signe,Zeichen,signo,cartello,знак
lucky,chanceux,Glücklich,afortunado,fortunato,счастливчик
somewhere,quelque part,irgendwo,algun lado,da qualche parte,где-то
bet,pari,Wette,apuesta,scommessa,держать пари
o,o,Ö,o,o,о
jesus,Jésus,Jesus,Jesús,Gesù,Иисус
longer,plus long,länger,más extenso,più a lungo,дольше
calling,appel,Berufung,vocación,chiamata,призвание
worked,travaillé,hat funktioniert,trabajó,lavorato,работал
quiet,calmer,ruhig,tranquilo,silenzioso,тихий
looked,regardé,sah,miró,guardato,смотрел
less,moins,Weniger,menos,Di meno,меньше
pull,tirer,ziehen,jalar,Tirare,тянуть
beat,battre,schlagen,derrotar,battere,бить
careful,minutieux,Vorsichtig,Cuidado,attento,осторожный
coffee,café,Kaffee,café,caffè,кофе
return,revenir,Rückkehr,regreso,ritorno,возвращаться
secret,secret,Geheimnis,secreto,segreto,секрет
weeks,semaines,Wochen,semanas,settimane,недель
weren,weren,weren,weren,weren,weren
date,Date,Datum,fecha,Data,Дата
seeing,voyant,Sehen,vidente,vedendo,видящий
fall,tombe,fallen,otoño,autunno,Осень
given,donné,gegeben,dado,dato,данный
ooh,ooh,Oh,Oh,ooh,ух
fault,la faute,Fehler,culpa,colpa,вина
straight,droit,Gerade,derecho,dritto,прямой
takes,prend,nimmt,acepta,prende,принимает
song,chanson,Lied,canción,canzone,песня
future,avenir,Zukunft,futuro,futuro,будущее
gentlemen,Messieurs,Herren,caballeros,gentiluomini,господа
loved,aimé,liebte,amado,amato,любимый
changed,modifié,geändert,cambió,cambiato,измененный
road,route,Straße,la carretera,strada,Дорога
calm,calme,Ruhe,calma,calma,спокойствие
wonderful,formidable,wunderbar,maravilloso,meraviglioso,чудесно
mad,furieux,wütend,enojado,pazzo,Сумасшедший
turned,tourné,gedreht,transformado,trasformato,оказалось
drop,laissez tomber,fallen,soltar,far cadere,уронить
ladies,Dames,Damen,señoras,le signore,дамы
learn,apprendre,lernen,aprender,imparare,учиться
step,étape,Schritt,paso,passo,шаг
absolutely,Tout à fait,absolut,absolutamente,assolutamente,абсолютно
early,de bonne heure,früh,temprano,presto,рано
explain,Explique,erklären,explique,spiegare,объяснять
clean,faire le ménage,sauber,limpio,pulito,чистый
piece,pièce,Stück,pedazo,pezzo,кусок
yesterday,hier,gestern,ayer,ieri,вчерашний день
throw,lancer,werfen,lanzar,gettare,бросать
picture,image,Bild,fotografía,immagine,рисунок
land,terre,Land,tierra,sbarcare,земельные участки
feet,pieds,Füße,pies,piedi,ноги
wonder,se demander,Wunder,preguntarse,Meraviglia,задаваться вопросом
questions,des questions,Fragen,preguntas,domande,вопросов
speaking,Parlant,Apropos,discurso,A proposito di,Говорящий
worth,vaut,wert,valor,di valore,стоит
darling,chéri,Liebling,querida,tesoro,дорогой
dude,mon gars,Kumpel,amigo,tipo,чувак
giving,donnant,Angabe,donación,dando,дающий
president,Président,Präsident,presidente,Presidente,президент
eye,œil,Auge,ojo,occhio,глаз
quick,vite-fait,schnell,rápido,Presto,быстро
moving,en mouvement,ziehen um,Moviente,in movimento,движущийся
figure,chiffre,Zahl,figura,figura,фигура
state,Etat,Zustand,Expresar,stato,государственный
strong,fort,stark,fuerte,forte,сильный
sam,sam,Sam,sam,sam,Сэм
none,rien,keiner,ninguno,nessuna,никто
amazing,incroyable,tolle,increíble,sorprendente,удивительный
ones,les,Einsen,unos,quelli,"те,"
works,travaux,Werk,trabajos,lavori,работает
act,acte,Handlung,Actuar,atto,действовать
needed,avait besoin,erforderlich,necesario,necessaria,нужный
weird,bizarre,seltsam,extraño,strano,странный
law,droit,Recht,ley,legge,закон
worried,préoccupé,besorgt,preocupado,preoccupato,волновался
report,rapport,Bericht,reporte,rapporto,отчет
goodbye,Au revoir,Auf Wiedersehen,adiós,Arrivederci,до свидания
missing,disparu,fehlt,desaparecidos,mancante,отсутствующий
choice,choix,Wahl,elección,scelta,выбор
happening,événement,Ereignis,sucediendo,avvenimento,происходит
chief,chef,Chef,jefe,capo,главный
wedding,mariage,Hochzeit,boda,nozze,свадьба
strange,étrange,seltsam,extraño,strano,странный
general,général,Allgemeines,general,generale,Общее
pain,la douleur,Schmerzen,dolor,dolore,боль
am,un m,Uhr,soy,am,являюсь
kidding,blague,Scherz,es una broma,prendere in giro,шутя
decided,décidé,beschlossen,decidido,deciso,решил
ya,ya,ya,ya,ya,я
pass,passe,bestehen,pasar,passaggio,проходить
tired,fatigué,müde,cansado,stanco,усталый
class,classer,Klasse,clase,classe,учебный класс
officer,officier,Offizier,oficial,ufficiale,сотрудник
kept,conservé,gehalten,conservó,tenuto,хранится
wake,se réveiller,aufwachen,despertarse,scia,будить
worse,pire,schlechter,peor,peggio,хуже
busy,occupé,beschäftigt,ocupado,occupato,занятый
eh,eh,eh,eh,eh,а
mistake,erreur,Fehler,Error,sbaglio,ошибка
kiss,embrasser,Kuss,Beso,bacio,целовать
court,rechercher,Gericht,Tribunal,Tribunale,корт
building,bâtiment,Gebäude,edificio,edificio,строительство
finish,terminer,Fertig,finalizar,finire,Конец
during,pendant,während,durante,durante,в течение
age,âge,Alter,edad,età,возраст
ship,bateau,Schiff,Embarcacion,nave,корабль
caught,attrapé,gefangen,atrapó,catturato,пойманный
marry,marier,heiraten,casar,sposare,выйти замуж
meant,signifiait,gemeint,quiso decir,significava,имел ввиду
sell,vendre,verkaufen,vender,vendere,продавать
dark,foncé,dunkel,oscuro,buio,тьма
watching,en train de regarder,Aufpassen,mirando,Guardando,наблюдение
system,système,System,sistema,sistema,система
suppose,supposer,annehmen,suponer,supporre,предполагать
evidence,preuve,Beweis,evidencia,prova,свидетельство
movie,film,Film,película,film,фильм
ride,balade,Reiten,cabalgata,giro,поездка
t,t,t,t,t,T
completely,complètement,vollständig,completamente,completamente,полностью
mouth,bouche,Mund,boca,bocca,рот
totally,totalement,total,totalmente,totalmente,полностью
birthday,date d'anniversaire,Geburtstag,cumpleaños,compleanno,день рождения
tv,la télé,Fernseher,televisor,tv,телевидение
forgive,pardonner,verzeihen,perdonar,perdonare,простить
born,née,geboren,nacido,Nato,родившийся
imagine,imaginer,vorstellen,imagina,immaginare,представлять себе
information,informations,Information,información,informazione,Информация
instead,au lieu,stattdessen,en lugar de,anziché,вместо
definitely,définitivement,bestimmt,definitivamente,decisamente,определенно
security,Sécurité,Sicherheit,seguridad,sicurezza,безопасность
certainly,certainement,bestimmt,ciertamente,certamente,безусловно
film,film,Film,película,film,фильм
month,mois,Monat,mes,mese,месяц
lying,mensonge,liegend,mintiendo,dire bugie,врущий
unless,à moins que,es sei denn,a no ser que,salvo che,пока не
train,former,Zug,tren,treno,тренироваться
seven,Sept,Sieben,Siete,Sette,Семь
wear,porter,tragen,vestir,indossare,носить
clothes,vêtements,Kleider,ropa,Abiti,одежда
michael,Michael,michael,Miguel,Michael,Майкл
hotel,Hôtel,Hotel,hotel,Hotel,Гостиница
christmas,Noël,Weihnachten,Navidad,Natale,рождество
attack,attaque,Attacke,ataque,attacco,атака
hasn,hasn,hasn,hasn,hasn,hasn
round,rond,runden,redondo,il giro,круглый
expect,attendre,erwarten von,suponer,aspettarsi,ожидать
sing,chanter,singen,canta,cantare,петь
terrible,terrible,furchtbar,terrible,terribile,ужасный
george,George,George,Jorge,Giorgio,Джордж
bag,sac,Tasche,bolsa,Borsa,мешок
history,l'histoire,Geschichte,historia,storia,история
blue,bleu,Blau,azul,blu,синий
near,près,nahe,cerca,vicino,возле
broke,cassé,Pleite,en bancarrota,rotto,сломанный
station,gare,Bahnhof,estación,stazione,станция
seriously,sérieusement,Ernsthaft,seriamente,sul serio,серьезно
forever,pour toujours,für immer,Siempre,per sempre,навсегда
david,David,David,David,david,Дэйвид
frank,franc,frank,franco,Franco,откровенный
except,sauf,außer,excepto,tranne,Кроме
thinks,pense,denkt,piensa,pensa,думает
message,un message,Botschaft,mensaje,Messaggio,сообщение
entire,tout,ganz,completo,intero,весь
joe,Joe,joe,José,joe,Джо
table,table,Tabelle,mesa,tavolo,стол
talked,a parlé,gesprochen,habló,parlato,говорили
across,de l'autre côté,über,al otro lado de,attraverso,через
rock,Roche,Felsen,Roca,roccia,камень
lovely,beau,schön,precioso,bello,прекрасный
handle,poignée,Griff,encargarse de,maniglia,ручка
middle,milieu,Mitte,medio,mezzo,середина
buddy,copain,Kumpel,compañero,compagno,приятель
paid,payé,bezahlt,pagado,pagato,оплаченный
protect,protéger,schützen,proteger,proteggere,защищать
using,utilisant,Verwendung,usando,utilizzando,с помощью
floor,étage,Fußboden,suelo,pavimento,этаж
ran,RAN,RAN,corrió,corse,RAN
swear,jurer,schwören,jurar,giurare,ругаться
spend,dépenser,verbringen,gastar,trascorrere,тратить
situation,situation,Situation,situación,situazione,ситуация
ring,bague,Ring,anillo,squillare,звенеть
anywhere,partout,irgendwo,en cualquier lugar,in qualunque posto,куда угодно
dangerous,dangereux,gefährlich,peligroso,pericoloso,опасный
bill,facture,Rechnung,cuenta,conto,законопроект
york,york,York,york,York,йорк
army,armée,Heer,Ejército,esercito,армия
lead,mener,führen,Plomo,piombo,вести
bought,acheté,gekauft,compró,comprato,купила
finished,fini,fertig,finalizado,finito,законченный
fair,équitable,Messe,justa,giusto,справедливый
sun,Soleil,Sonne,sol,sole,солнце
letter,lettre,Brief,letra,lettera,письмо
fool,imbécile,täuschen,tonto,scemo,дурак
attention,attention,Beachtung,atención,Attenzione,внимание
club,club,Verein,club,club,клуб
simple,Facile,einfach,sencillo,semplice,просто
interesting,intéressant,interessant,interesante,interessante,интересно
space,espacer,Raum,espacio,spazio,Космос
test,test,Prüfung,prueba,test,тест
box,boîte,Box,caja,scatola,коробка
group,grouper,Gruppe,grupo,gruppo,группа
single,Célibataire,Single,único,singolo,Один
sitting,séance,Sitzung,sesión,seduta,сидящий
marriage,mariage,Ehe,matrimonio,matrimonio,брак
join,rejoindre,beitreten,unirse,aderire,присоединиться
fear,craindre,Angst,miedo,paura,страх
d,ré,d,D,d,d
peace,paix,Frieden,paz,pace,мир
forgot,oublié,vergessen,olvidó,dimenticato,забыл
force,Obliger,Macht,fuerza,vigore,сила
short,court,kurz,pequeño,corto,короткая
normal,Ordinaire,normal,normal,normale,нормальный
charlie,charlie,Charlie,Charlie,Charlie,Чарли
present,cadeau,vorhanden,regalo,presente,настоящее время
enjoy,Profitez,genießen,disfrutar,godere,наслаждаться
mike,Mike,Mike,Miguel,Mike,Майк
crime,la criminalité,Kriminalität,crimen,crimine,преступление
horse,cheval,Pferd,caballo,cavallo,лошадь
ground,sol,Boden,suelo,terra,земля
american,américain,amerikanisch,americano,americano,американский
count,compter,Anzahl,contar,contare,считать
area,surface,Bereich,área,la zona,площадь
charge,charger,aufladen,cargo,caricare,обвинять
honor,honneur,Ehre,honor,onore,честь
lunch,le déjeuner,Mittagessen,comida,pranzo,обед
miles,miles,Meilen,millas,miglia,миль
radio,radio,Radio,radio,Radio,радио
idiot,espèce d'imbécile,Dummkopf,idiota,idiota,идиот
ball,Balle,Ball,pelota,palla,мяч
surprise,surprendre,Überraschung,sorpresa,sorpresa,сюрприз
paper,papier,Papier-,papel,carta,бумага
key,clé,Schlüssel,llave,chiave,ключ
boat,bateau,Boot,bote,barca,лодка
quickly,vite,schnell,con rapidez,velocemente,быстро
gold,or,Gold,oro,oro,золото
bar,bar,Bar,bar,bar,бар
fish,poisson,Fisch,pez,pesce,рыбы
mark,marque,Kennzeichen,Marcos,marchio,отметка
tom,à M,tom,Tomás,tom,Том
wearing,portant,tragen,agotador,indossare,утомительный
crying,pleurs,Weinen,llorando,pianto,плач
accident,accident,Unfall,accidente,incidente,авария
government,gouvernement,Regierung,Gobierno,governo,правительство
eight,huit,acht,ocho,otto,8
fell,abattre,fiel,cayó,abbattere,упал
cover,couvrir,Startseite,cubrir,copertina,крышка
certain,certain,sicher,cierto,certo,определенный
interested,intéressé,interessiert,interesado,interessato,заинтересованный
deep,Profond,tief,profundo,in profondità,глубокий
star,Star,Star,estrella,stella,звезда
sea,mer,Meer,mar,mare,море
agree,Je suis d'accord,zustimmen,estar de acuerdo,essere d'accordo,согласны
problems,problèmes,Probleme,problemas,i problemi,проблемы
detective,détective,Detektiv,detective,investigatore,детектив
prison,prison,Gefängnis,prisión,prigione,тюрьма
major,Majeur,Haupt,importante,maggiore,основной
stick,coller,Stock,palo,bastone,палка
offer,offre,Angebot,oferta,offrire,предлагает
difficult,difficile,schwer,difícil,difficile,трудно
smart,intelligent,Clever,inteligente,inteligente,умная
personal,personnel,persönlich,personal,personale,личный
record,record,Aufzeichnung,registro,disco,записывать
stopped,arrêté,gestoppt,interrumpido,fermato,остановился
hide,cacher,ausblenden,esconder,nascondere,Спрятать
whether,qu'il s'agisse,ob,ya sea,se,ли
bank,Banque,Bank,Banco,banca,банк
trip,voyage,Ausflug,viaje,viaggio,путешествие
relax,se détendre,Entspannen Sie sich,relajarse,Relax,расслабляться
america,Amérique,Amerika,America,America,Америка
public,Publique,Öffentlichkeit,público,pubblico,общественности
list,liste,Liste,lista,elenco,список
afternoon,après midi,Nachmittag,tarde,pomeriggio,после полудня
brain,cerveau,Gehirn,cerebro,cervello,мозг
fix,réparer,Fix,reparar,fix,исправить
bastard,bâtard,Bastard,Bastardo,bastardo,сволочь
proud,fier,stolz,orgulloso,orgoglioso,гордый
tea,thé,Tee,té,tè,чай
service,un service,Bedienung,Servicio,servizio,служба
screaming,en hurlant,schreiend,gritando,urlando,кричащий
forward,effronté,nach vorne,hacia adelante,inoltrare,вперед
angry,en colère,wütend,enfadado,arrabbiato,сердитый
park,se garer,Park,parque,parco,парк
soul,âme,Seele,alma,anima,душа
fighting,combat,Kampf,lucha,combattente,борьба
peter,peter,Peter,peter,Peter,Питер
rich,riche,Reich,Rico,ricco,богатые
agent,agent,Agent,agente,agente,агент
blow,coup,Schlag,soplar,soffio,дуть
paul,Paul,paul,Paul,Paolo,Павел
dress,robe,Kleid,vestido,vestito,платье
mary,Marie,Maria,María,Maria,Мэри
missed,manqué,verpasst,omitido,perse,пропущенный
scene,scène,Szene,escena,scena,место действия
killing,meurtre,Tötung,asesinato,uccisione,убийство
standing,debout,Stehen,de pie,in piedi,постоянный
saved,enregistré,Gerettet,salvado,salvato,Сохраненный
mm,mm,Millimeter,mm,mm,мм
respect,le respect,Respekt,el respeto,rispetto,уважать
killer,tueur,Mörder,asesino,uccisore,убийца
ice,la glace,Eis,hielo,ghiaccio,лед
mess,désordre,Chaos,desorden,pasticcio,беспорядок
tough,difficile,zäh,difícil,difficile,жесткий
feels,se sent,fühlt sich,siente,sente,чувствует себя
church,église,Kirche,Iglesia,Chiesa,церковь
sad,triste,traurig,triste,triste,грустный
cell,cellule,Zelle,celda,cellula,клетка
drunk,ivre,betrunken,borracho,ubriaco,пьяный
share,partager,Aktie,Cuota,Condividere,Поделиться
camera,caméra,Kamera,cámara,telecamera,камера
mm-hmm,mm-hmm,mm-HMM,mm-hmm,mm-hmm,мм гм
within,dans,innerhalb,dentro de,entro,в
card,carte,Karte,tarjeta,carta,карта
fly,mouche,Fliege,mosca,volare,летать
ben,ben,ben,ben,Ben,Бен
girlfriend,petite amie,Freundin,Novia,fidanzata,Подруга
laugh,rire,Lachen,reír,ridere,смех
smell,sentir,Geruch,oler,odore,запах
broken,cassé,gebrochen,roto,rotto,сломанный
mum,maman,Mama,mamá,mamma,мама
honest,honnête,ehrlich,honesto,onesto,честный
often,souvent,häufig,a menudo,spesso,довольно часто
starting,départ,beginnend,a partir de,di partenza,начало
calls,appels,Anrufe,llamadas,chiamate,звонки
spent,dépensé,verbraucht,gastado,trascorso,потраченный
third,troisième,dritte,tercera,terzo,в третьих
english,Anglais,Englisch,inglés,inglese,английский
visit,visite,Besuch,visitar,visitare,посещение
mama,maman,Mutter,mamá,mamma,мама
judge,juge,Richter,juez,giudice,судить
window,la fenêtre,Fenster,ventana,finestra,окно
hungry,faim,hungrig,hambriento,Affamato,голодный
dare,oser,Wagen,atrevimiento,osare,сметь
relationship,relation,Beziehung,relación,relazione,отношение
moved,déplacé,gerührt,movido,mosso,взолнованный
prove,prouver,beweisen,probar,dimostrare,доказывать
private,privé,Privat,privado,privato,частный
wall,mur,Mauer,pared,parete,стена
seat,siège,Sitz,asiento,posto a sedere,сиденье
position,positionner,Position,posición,posizione,позиция
lieutenant,lieutenant,Leutnant,teniente,tenente,лейтенант
realize,prendre conscience de,realisieren,darse cuenta,rendersi conto,понимать
especially,notamment,insbesondere,especialmente,particolarmente,особенно
machine,machine,Maschine,máquina,macchina,машина
walking,en marchant,Gehen,caminando,a piedi,ходьба
art,art,Kunst,Arte,arte,Изобразительное искусство
pleasure,plaisir,Vergnügen,Placer,piacere,удовольствие